Datetime,Tweet Id,Text,location,Media,TweetUrl,Hashtags,Retweets Counts,Like Counts,clean_text,clean_text1,Organization,Protest Type,NORP,Protest-Size,GPE,LOC,NEW_DATE,name,geo_country,Country,Country_Code,sentiment,topics
2022-01-16 14:46:04,1482725846964060163,@sschweb1 Seen this in Vancouver (mbmch) in a car caravan protest up and down MAIN St about six months ago. Open wi… https://t.co/cd2P2Qe9fG,"Vancouver, British Columbia",[],https://twitter.com/user/status/1482725846964060163,Doctor Protest,0,1,seen this in vancouver  mbmch  in a car caravan protest up and down main st about six months ago  open wi...,seen vancouv mbmch car caravan protest main st six month ago open wi,null,null,null,null,['vancouver'],,['about six months ago'],,"Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, Canada",Canada,CA,NEGATIVE,"{0: 'caravan ago vancouv open seen', 1: 'caravan mbmch month seen st', 2: 'protest month open main st', 3: 'st caravan vancouv car mbmch', 4: 'main ago st month protest'}"
2022-01-15 06:45:08,1482242430657495042,@MeritUnity @PMOIndia @MoHFW_INDIA @mansukhmandviya @rashtrapatibhvn @nitin_gadkari @BJP4India @RSSorg @JPNadda… https://t.co/iIyRFGPdyu,,[],https://twitter.com/user/status/1482242430657495042,Doctor Protest,2,2, india  gadkari ...,india gadkari,null,null,null,null,['india'],,null,,India,India,IN,POSITIVE,"{0: 'gadkari india', 1: 'gadkari india', 2: 'india gadkari', 3: 'gadkari india', 4: 'gadkari india'}"
2022-01-15 02:27:02,1482177477762236419,@Drsuryadnb @NBEMS_INDIA @FordaIndia @AIIMSRDA @apjuda1 @karnatakarda @rda_cnbc @DNBdoctors @neetpg2022… https://t.co/DCvoawCBqU,,[],https://twitter.com/user/status/1482177477762236419,Doctor Protest,3,3, india  cnbc ...,india cnbc,null,null,null,null,['india'],,null,,India,India,IN,POSITIVE,null
2022-01-13 15:12:22,1481645301341765632,@dentodontics @Indian__doctor @sushant_says @ANI @FordaIndia @FAIMA_INDIA_ @Neurochauhan @DrMeet_Ghonia @MeritUnity… https://t.co/sefwE4bIcu,,[],https://twitter.com/user/status/1481645301341765632,Doctor Protest,2,2, doctor  says  india   ghonia ...,doctor say india ghonia,null,null,null,null,['india'],,null,doctor,India,India,IN,NEGATIVE,"{0: 'india doctor ghonia say', 1: 'india ghonia say doctor', 2: 'india doctor ghonia say', 3: 'india ghonia say doctor', 4: 'doctor ghonia india say'}"
2022-01-13 02:12:46,1481449109261524995,@Indian__doctor @mansukhmandviya @PMOIndia @dr_alokmittal @FAIMA_INDIA_ @FordaIndia @ShankulDwivedi @giantmanish… https://t.co/l8IV7x65y4,,[],https://twitter.com/user/status/1481449109261524995,Doctor Protest,2,2, doctor  alokmittal  india  ...,doctor alokmitt india,null,null,null,null,['india'],,null,doctor,India,India,IN,POSITIVE,"{0: 'india alokmitt doctor', 1: 'india doctor alokmitt', 2: 'alokmitt india doctor', 3: 'doctor alokmitt india', 4: 'india doctor alokmitt'}"
2022-01-13 02:12:22,1481449008497565696,@Rohitan28100465 @Indian__doctor @ProfSomashekhar @mansukhmandviya @PMOIndia @dr_alokmittal @FAIMA_INDIA_… https://t.co/A7na8sQBRX,,[],https://twitter.com/user/status/1481449008497565696,Doctor Protest,3,3, doctor  alokmittal  india ...,doctor alokmitt india,null,null,null,null,['india'],,null,doctor,India,India,IN,POSITIVE,"{0: 'india alokmitt doctor', 1: 'india doctor alokmitt', 2: 'alokmitt india doctor', 3: 'doctor alokmitt india', 4: 'india doctor alokmitt'}"
2022-01-12 20:51:34,1481368276349378566,@doctorsaz @doctor_oxford For the same reason that the people who attack doctors in the US don't protest against Tr… https://t.co/r6hpzzX1wJ,The shadows of the capital,[],https://twitter.com/user/status/1481368276349378566,Doctor Protest,0,2, oxford for the same reason that the people who attack doctors in the us don t protest against tr...,oxford reason peopl attack doctor us protest tr,null,null,null,null,['us'],,null,doctor,United States,United States,US,NEGATIVE,"{0: 'oxford attack tr reason doctor', 1: 'peopl tr doctor oxford attack', 2: 'attack oxford peopl tr protest', 3: 'attack tr protest peopl doctor', 4: 'peopl doctor oxford reason protest'}"
2022-01-12 17:55:16,1481323909119377408,@vivEkdEvda2223 @poojabeditweets @CMOMaharashtra @BJP4India @MoHFW_INDIA @awakenindiamvmt @MumbaiPolice Former NTAG… https://t.co/sTowN5J1jb,,[],https://twitter.com/user/status/1481323909119377408,Doctor Protest,0,0, india former ntag...,india former ntag,null,null,null,null,['india'],,null,,India,India,IN,POSITIVE,"{0: 'india ntag', 1: 'india ntag', 2: 'ntag india', 3: 'india ntag', 4: 'india ntag'}"
2022-01-12 09:25:02,1481195504734474243,"India lost one more doctor, a bright student, always smiling one rather. This is what government and authority has… https://t.co/uddBDgdxuz",,[],https://twitter.com/user/status/1481195504734474243,Doctor Protest,1,1,india lost one more doctor  a bright student  always smiling one rather  this is what government and authority has...,india lost one doctor bright student alway smile one rather govern author,null,null,null,null,['india'],,null,doctor,India,India,IN,NEGATIVE,"{0: 'bright alway lost student india', 1: 'india smile author student govern', 2: 'bright doctor smile lost alway', 3: 'govern bright doctor alway lost', 4: 'bright author govern doctor smile'}"
2022-01-15 21:07:13,1482459377722597377,"So. A free dumb doctor in England points out that only 17,300 deaths have occurred in which COVID was the only caus… https://t.co/Ef2QcApVda","Footscray, Melbourne",[],https://twitter.com/user/status/1482459377722597377,Doctor Strikes,0,3,so  a free dumb doctor in england points out that only 17 300 deaths have occurred in which covid was the only caus...,free dumb doctor england point 17 300 death occur covid caus,null,null,null,null,['england'],,null,doctor,"England, United Kingdom",United Kingdom,GB,NEGATIVE,"{0: 'caus 17 point dumb free', 1: 'covid doctor dumb occur point', 2: 'occur england free doctor covid', 3: 'doctor death england dumb point', 4: 'england death 300 occur caus'}"
2022-01-11 10:44:22,1480853080891559936,"THOUSANDS Of Doctors/Medicos Test COVID-POSITIVE Across India.

If GOI/States Had Acted Against ILLEGAL-DOCTOR-STRI… https://t.co/224V52ubXn",,[],https://twitter.com/user/status/1480853080891559936,Doctor Strikes,0,0,thousands of doctors medicos test covid positive across india  if goi states had acted against illegal doctor stri...,thousand doctor medico test covid posit across india goi state act illeg doctor stri,null,null,null,null,['india'],,null,"['medicos', 'stri']",India,India,IN,NEGATIVE,"{0: 'doctor act test medico state', 1: 'doctor illeg india state stri', 2: 'posit india medico goi stri', 3: 'stri doctor test covid illeg', 4: 'goi act stri india posit'}"
2022-01-10 18:24:55,1480606595788808203,@MachariaMD @SalimAbebe @2022FK Who do guys on strikes? That is more than a junior doctor in UK minus overtime.,cardiff ,[],https://twitter.com/user/status/1480606595788808203,Doctor Strikes,0,1,who do guys on strikes  that is more than a junior doctor in uk minus overtime ,guy strike junior doctor uk minus overtim,null,null,null,null,['uk'],,null,doctor,United Kingdom,United Kingdom,GB,POSITIVE,"{0: 'junior doctor uk strike guy', 1: 'minus uk guy junior doctor', 2: 'doctor junior minus uk overtim', 3: 'doctor uk overtim minus guy', 4: 'minus guy junior strike overtim'}"
2022-01-10 00:20:37,1480333722054496259,@gabriellastired White goy strikes again.  Romania? Poland? Russia? Doctor's Plot?  Nothing.  There is no antisemit… https://t.co/lkRbEHwFYA,Land stolen from the Tunica,[],https://twitter.com/user/status/1480333722054496259,Doctor Strikes,0,7,white goy strikes again  romania  poland  russia  doctor s plot  nothing  there is no antisemit...,white goy strike romania poland russia doctor plot noth antisemit,null,null,null,null,"['russia', 'poland']",,null,doctor,"Village of Poland, Town of Russia, Herkimer County, New York, United States",Poland,PL,NEGATIVE,"{0: 'goy antisemit romania strike poland', 1: 'plot romania antisemit russia noth', 2: 'antisemit doctor white russia poland', 3: 'strike russia doctor white antisemit', 4: 'strike poland romania antisemit noth'}"
